T,H,repeat,oracle,stage1,em1,em2,em3,em4,em5,em6,em7,em8,em9,em10
100,10,0,0.20999999999999996,0.41000000000000003,0.4,0.39,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
100,10,1,0.17000000000000004,0.5700000000000001,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
100,10,2,0.10999999999999999,0.44999999999999996,0.45999999999999996,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
100,10,3,0.14,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
100,10,4,0.15000000000000002,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
100,10,5,0.15000000000000002,0.43999999999999995,0.43000000000000005,0.42000000000000004,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005
100,10,6,0.12,0.51,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
100,10,7,0.14,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
100,10,8,0.15000000000000002,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001
100,10,9,0.08999999999999997,0.5800000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001
100,10,10,0.09999999999999998,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
100,10,11,0.21999999999999997,0.56,0.56,0.5700000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001
100,10,12,0.14,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
100,10,13,0.19999999999999996,0.5700000000000001,0.5800000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001
100,10,14,0.14,0.47,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996
100,10,15,0.18000000000000005,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
100,10,16,0.08999999999999997,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
100,10,17,0.18999999999999995,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
100,10,18,0.12,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001
100,10,19,0.13,0.5800000000000001,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
100,10,20,0.14,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
100,10,21,0.14,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
100,10,22,0.17000000000000004,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
100,10,23,0.18999999999999995,0.43999999999999995,0.43999999999999995,0.43000000000000005,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004
100,10,24,0.18000000000000005,0.56,0.55,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
100,10,25,0.17000000000000004,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
100,10,26,0.09999999999999998,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001
100,10,27,0.08999999999999997,0.49,0.48,0.47,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996
100,10,28,0.08999999999999997,0.52,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
100,10,29,0.16000000000000003,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
100,20,30,0.050000000000000044,0.31000000000000005,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004
100,20,31,0.07999999999999996,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
100,20,32,0.020000000000000018,0.17000000000000004,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
100,20,33,0.020000000000000018,0.26,0.24,0.22999999999999998,0.21999999999999997,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998
100,20,34,0.06999999999999995,0.29000000000000004,0.28,0.27,0.26,0.25,0.26,0.25,0.24,0.22999999999999998,0.22999999999999998,0.22999999999999998
100,20,35,0.06999999999999995,0.24,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998
100,20,36,0.030000000000000027,0.24,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998
100,20,37,0.030000000000000027,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
100,20,38,0.010000000000000009,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
100,20,39,0.050000000000000044,0.18999999999999995,0.17000000000000004,0.17000000000000004,0.17000000000000004,0.17000000000000004,0.17000000000000004,0.17000000000000004,0.17000000000000004,0.17000000000000004,0.17000000000000004,0.17000000000000004
100,20,40,0.030000000000000027,0.28,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
100,20,41,0.020000000000000018,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999
100,20,42,0.020000000000000018,0.35,0.33999999999999997,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995
100,20,43,0.050000000000000044,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
100,20,44,0.010000000000000009,0.29000000000000004,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
100,20,45,0.040000000000000036,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996
100,20,46,0.050000000000000044,0.13,0.12,0.09999999999999998,0.08999999999999997,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996
100,20,47,0.030000000000000027,0.31999999999999995,0.30000000000000004,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
100,20,48,0.040000000000000036,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999
