T,H,algo,mean,lo,hi
100,10,em1,0.5183333333333334,0.49966666666666665,0.5373333333333333
100,10,em10,0.5180000000000001,0.499325,0.5363333333333333
100,10,em2,0.5180000000000001,0.49900000000000005,0.5366666666666667
100,10,em3,0.5180000000000001,0.4996666666666666,0.5363333333333334
100,10,em4,0.5180000000000001,0.49866666666666665,0.537
100,10,em5,0.5180000000000001,0.49900000000000005,0.5363333333333334
100,10,em6,0.5180000000000001,0.49900000000000005,0.537
100,10,em7,0.5180000000000001,0.4986666666666667,0.5366666666666667
100,10,em8,0.5180000000000001,0.499,0.5373333333333333
100,10,em9,0.5180000000000001,0.499,0.537
100,10,oracle,0.14566666666666667,0.13233333333333333,0.15933333333333327
100,10,stage1,0.5196666666666667,0.501,0.5373333333333334
100,20,em1,0.234,0.2043333333333334,0.26466666666666666
100,20,em10,0.22666666666666666,0.19633333333333333,0.257
100,20,em2,0.2293333333333334,0.1996583333333333,0.2593333333333333
100,20,em3,0.22733333333333336,0.19633333333333336,0.2570083333333333
100,20,em4,0.2273333333333333,0.19700000000000004,0.25666666666666665
100,20,em5,0.22666666666666666,0.19733333333333333,0.25600000000000006
100,20,em6,0.22666666666666666,0.1966666666666667,0.2573333333333333
100,20,em7,0.22666666666666666,0.19733333333333333,0.25599999999999995
100,20,em8,0.22666666666666666,0.19766666666666668,0.257
100,20,em9,0.22666666666666666,0.19699166666666668,0.25499999999999995
100,20,oracle,0.03733333333333335,0.030333333333333348,0.04500000000000001
100,20,stage1,0.24699999999999997,0.2173333333333334,0.2766666666666666
100,30,em1,0.056333333333333346,0.043333333333333356,0.07066666666666666
100,30,em10,0.05233333333333336,0.040000000000000015,0.06600000000000002
100,30,em2,0.05266666666666668,0.040000000000000015,0.06700000000000002
100,30,em3,0.05233333333333336,0.039666666666666676,0.06633333333333336
100,30,em4,0.05233333333333336,0.040000000000000015,0.0666666666666667
100,30,em5,0.05233333333333336,0.03966666666666669,0.06600833333333324
100,30,em6,0.05233333333333336,0.039666666666666676,0.06633333333333333
100,30,em7,0.05233333333333336,0.039666666666666676,0.06634166666666658
100,30,em8,0.05233333333333336,0.039666666666666676,0.06666666666666667
100,30,em9,0.05233333333333336,0.039666666666666676,0.06633333333333336
100,30,oracle,0.008666666666666675,0.005333333333333338,0.013000000000000012
100,30,stage1,0.07699999999999999,0.063,0.09166666666666666
100,40,em1,0.016333333333333346,0.010333333333333338,0.02333333333333334
100,40,em10,0.014333333333333342,0.009000000000000005,0.020666666666666677
100,40,em2,0.01500000000000001,0.009333333333333341,0.021666666666666674
100,40,em3,0.014333333333333342,0.009000000000000008,0.021000000000000005
100,40,em4,0.014333333333333342,0.009000000000000008,0.020666666666666677
100,40,em5,0.014333333333333342,0.008666666666666675,0.02066666666666668
100,40,em6,0.014333333333333342,0.009000000000000008,0.02100000000000001
100,40,em7,0.014333333333333342,0.008991666666666674,0.02066666666666668
100,40,em8,0.014333333333333342,0.009000000000000008,0.02066666666666668
100,40,em9,0.014333333333333342,0.009000000000000008,0.02100000000000001
100,40,oracle,0.0046666666666666705,0.002666666666666669,0.00733333333333334
100,40,stage1,0.025666666666666678,0.018666666666666682,0.03333333333333335
100,50,em1,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em10,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em2,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em3,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em4,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em5,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em6,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em7,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em8,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,em9,0.0043333333333333375,0.0023333333333333353,0.006666666666666672
100,50,oracle,0.0010000000000000009,0.0,0.0023333333333333353
100,50,stage1,0.008666666666666675,0.005991666666666675,0.011666666666666678
200,10,em1,0.4798333333333333,0.4571666666666666,0.5021708333333333
200,10,em10,0.47583333333333333,0.4521666666666666,0.49833749999999993
200,10,em2,0.47716666666666663,0.45382916666666656,0.4995
200,10,em3,0.4771666666666667,0.4536624999999999,0.49933749999999993
200,10,em4,0.4765,0.4533333333333333,0.4988333333333333
200,10,em5,0.47650000000000003,0.4536666666666667,0.49833749999999993
200,10,em6,0.47583333333333333,0.4531624999999999,0.4988333333333333
200,10,em7,0.47583333333333333,0.4531666666666666,0.4986666666666666
200,10,em8,0.47583333333333333,0.45249583333333326,0.4988375
200,10,em9,0.47583333333333333,0.45266666666666666,0.4981708333333333
200,10,oracle,0.14250000000000002,0.13416666666666668,0.151
200,10,stage1,0.49333333333333323,0.47250000000000003,0.5146666666666666
200,20,em1,0.09966666666666664,0.08966666666666666,0.10916666666666668
200,20,em10,0.08049999999999999,0.07183333333333335,0.08883333333333332
200,20,em2,0.08683333333333333,0.07783333333333332,0.09549999999999996
200,20,em3,0.08283333333333331,0.07383333333333333,0.09133333333333331
200,20,em4,0.08099999999999999,0.07166666666666667,0.08966666666666663
200,20,em5,0.08083333333333331,0.07183333333333332,0.08933333333333329
200,20,em6,0.08066666666666665,0.07166666666666664,0.0888333333333333
200,20,em7,0.08049999999999999,0.07183333333333333,0.08916666666666664
200,20,em8,0.08049999999999999,0.07166666666666664,0.0888333333333333
200,20,em9,0.08049999999999999,0.07133333333333332,0.08866666666666664
200,20,oracle,0.03916666666666669,0.034500000000000024,0.04416666666666668
200,20,stage1,0.1515,0.14150000000000001,0.16216666666666668
200,30,em1,0.026000000000000023,0.02200000000000002,0.030166666666666692
200,30,em10,0.021666666666666685,0.018000000000000016,0.025500000000000023
200,30,em2,0.02250000000000002,0.018666666666666682,0.026333333333333358
200,30,em3,0.021666666666666685,0.01783333333333335,0.025500000000000023
200,30,em4,0.021666666666666685,0.01783333333333335,0.02566666666666669
200,30,em5,0.021666666666666685,0.017829166666666684,0.02566666666666669
200,30,em6,0.021666666666666685,0.01783333333333335,0.025833333333333357
200,30,em7,0.021666666666666685,0.018000000000000016,0.02566666666666669
200,30,em8,0.021666666666666685,0.01783333333333335,0.025500000000000023
200,30,em9,0.021666666666666685,0.01783333333333335,0.02566666666666669
200,30,oracle,0.01200000000000001,0.009666666666666676,0.014333333333333345
200,30,stage1,0.052666666666666674,0.0466666666666667,0.05866666666666666
200,40,em1,0.005666666666666671,0.0040000000000000036,0.007500000000000007
200,40,em10,0.005333333333333338,0.003500000000000003,0.007166666666666673
200,40,em2,0.005333333333333338,0.00366666666666667,0.007166666666666673
200,40,em3,0.005333333333333338,0.00366666666666667,0.007166666666666673
200,40,em4,0.005333333333333338,0.00366666666666667,0.007166666666666673
200,40,em5,0.005333333333333338,0.00366666666666667,0.007166666666666673
200,40,em6,0.005333333333333338,0.00366666666666667,0.007166666666666673
200,40,em7,0.005333333333333338,0.00366666666666667,0.007170833333333279
200,40,em8,0.005333333333333338,0.00366666666666667,0.007166666666666673
200,40,em9,0.005333333333333338,0.00366666666666667,0.00733333333333334
200,40,oracle,0.0030000000000000027,0.001833333333333335,0.0043333333333333375
200,40,stage1,0.01716666666666668,0.01366666666666668,0.020666666666666684
200,50,em1,0.002666666666666669,0.0011666666666666676,0.0046666666666666705
200,50,em10,0.002666666666666669,0.0010000000000000009,0.0046666666666666705
200,50,em2,0.002666666666666669,0.0010000000000000009,0.0046666666666666705
200,50,em3,0.002666666666666669,0.0010000000000000009,0.0046666666666666705
200,50,em4,0.002666666666666669,0.0010000000000000009,0.0046666666666666705
200,50,em5,0.002666666666666669,0.0010000000000000009,0.0046666666666666705
200,50,em6,0.002666666666666669,0.0010000000000000009,0.004500000000000004
200,50,em7,0.002666666666666669,0.0010000000000000009,0.0046666666666666705
