T,H,repeat,oracle,known_stage1,known_em10,unknown_c11e-03_c21e-03_stage1,unknown_c11e-03_c21e-03_em10,unknown_c11e-03_c25e-03_stage1,unknown_c11e-03_c25e-03_em10,unknown_c11e-03_c21e-02_stage1,unknown_c11e-03_c21e-02_em10,unknown_c11e-03_c25e-02_stage1,unknown_c11e-03_c25e-02_em10,unknown_c11e-03_c21e-01_stage1,unknown_c11e-03_c21e-01_em10,unknown_c11e-02_c21e-03_stage1,unknown_c11e-02_c21e-03_em10,unknown_c11e-02_c25e-03_stage1,unknown_c11e-02_c25e-03_em10,unknown_c11e-02_c21e-02_stage1,unknown_c11e-02_c21e-02_em10,unknown_c11e-02_c25e-02_stage1,unknown_c11e-02_c25e-02_em10,unknown_c11e-02_c21e-01_stage1,unknown_c11e-02_c21e-01_em10,unknown_c11e-01_c21e-03_stage1,unknown_c11e-01_c21e-03_em10,unknown_c11e-01_c25e-03_stage1,unknown_c11e-01_c25e-03_em10,unknown_c11e-01_c21e-02_stage1,unknown_c11e-01_c21e-02_em10,unknown_c11e-01_c25e-02_stage1,unknown_c11e-01_c25e-02_em10,unknown_c11e-01_c21e-01_stage1,unknown_c11e-01_c21e-01_em10
100,100,0,0.020000000000000018,0.15000000000000002,0.07999999999999996,0.52,0.14,0.51,0.14,0.5,0.10999999999999999,0.47,0.040000000000000036,0.5700000000000001,0.32999999999999996,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
100,100,1,0.0,0.25,0.20999999999999996,0.64,0.22999999999999998,0.64,0.22999999999999998,0.64,0.16000000000000003,0.6,0.24,0.6,0.24,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
100,100,2,0.0,0.18999999999999995,0.040000000000000036,0.49,0.15000000000000002,0.48,0.13,0.48,0.14,0.42000000000000004,0.030000000000000027,0.45999999999999996,0.32999999999999996,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
100,100,3,0.0,0.10999999999999999,0.020000000000000018,0.5800000000000001,0.09999999999999998,0.56,0.06000000000000005,0.56,0.040000000000000036,0.53,0.31999999999999995,0.53,0.31999999999999995,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
100,100,4,0.0,0.29000000000000004,0.25,0.6,0.09999999999999998,0.6,0.09999999999999998,0.6,0.09999999999999998,0.5900000000000001,0.020000000000000018,0.61,0.25,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
100,100,5,0.0,0.18000000000000005,0.040000000000000036,0.63,0.51,0.62,0.49,0.62,0.49,0.5900000000000001,0.29000000000000004,0.62,0.33999999999999997,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
100,100,6,0.010000000000000009,0.15000000000000002,0.08999999999999997,0.42000000000000004,0.29000000000000004,0.42000000000000004,0.29000000000000004,0.42000000000000004,0.29000000000000004,0.37,0.17000000000000004,0.37,0.17000000000000004,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
100,100,7,0.010000000000000009,0.35,0.35,0.6,0.31999999999999995,0.6,0.31999999999999995,0.6,0.30000000000000004,0.5700000000000001,0.22999999999999998,0.5700000000000001,0.30000000000000004,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
100,100,8,0.010000000000000009,0.33999999999999997,0.28,0.45999999999999996,0.35,0.44999999999999996,0.33999999999999997,0.44999999999999996,0.33999999999999997,0.41000000000000003,0.27,0.41000000000000003,0.27,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001
100,100,9,0.030000000000000027,0.17000000000000004,0.07999999999999996,0.55,0.28,0.54,0.17000000000000004,0.54,0.17000000000000004,0.55,0.31999999999999995,0.55,0.31999999999999995,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
