T,H,S,repeat,embedding_time,svd_time,clustering_time,refinement_time,total_time,error_stage1,error_stage2
100,500,40,0,0.009414855390787125,0.5073332414031029,0.0077343229204416275,0.11458831652998924,0.6390707362443209,0.43000000000000005,0.43000000000000005
100,500,40,1,0.00731191411614418,0.1514418013393879,0.010317336767911911,0.11497840285301208,0.28404945507645607,0.44999999999999996,0.44999999999999996
100,500,40,2,0.005607882514595985,0.4746310468763113,0.004596183076500893,0.1257912516593933,0.6106263641268015,0.42000000000000004,0.42000000000000004
100,500,40,3,0.007632967084646225,0.4932456202805042,0.0021825022995471954,0.11519997380673885,0.6182610634714365,0.38,0.38
100,500,40,4,0.007552629336714745,0.5198218692094088,0.010609596967697144,0.11252736486494541,0.6505114603787661,0.38,0.38
100,500,40,5,0.006150076165795326,0.17509388737380505,0.002137584611773491,0.1129888016730547,0.29637034982442856,0.35,0.35
100,500,40,6,0.007124494761228561,0.2355741336941719,0.003210820257663727,0.11637372523546219,0.3622831739485264,0.32999999999999996,0.32999999999999996
100,500,40,7,0.007360193878412247,0.1978237647563219,0.010110588744282722,0.11646327562630177,0.33175782300531864,0.27,0.27
100,500,40,8,0.005809394642710686,0.18700086511671543,0.0023135412484407425,0.1154231857508421,0.31054698675870895,0.36,0.36
100,500,40,9,0.005659012123942375,0.13942169211804867,0.0020731016993522644,0.11540299281477928,0.2625567987561226,0.27,0.27
100,500,40,10,0.00781937688589096,0.36214059591293335,0.00943179801106453,0.1144071239978075,0.49379889480769634,0.37,0.37
100,500,40,11,0.007229253649711609,0.13429171591997147,0.010299358516931534,0.1157712247222662,0.2675915528088808,0.44999999999999996,0.44999999999999996
100,500,40,12,0.005588054656982422,0.3231200762093067,0.0022049397230148315,0.11662522703409195,0.4475382976233959,0.42000000000000004,0.42000000000000004
100,500,40,13,0.008751414716243744,0.51391626521945,0.009765028953552246,0.11395900323987007,0.6463917121291161,0.33999999999999997,0.33999999999999997
100,500,40,14,0.0075441766530275345,0.4602398555725813,0.00990319810807705,0.11429810337722301,0.5919853337109089,0.39,0.39
100,500,40,15,0.007134735584259033,0.18593672662973404,0.010401347652077675,0.1157509945333004,0.31922380439937115,0.38,0.38
100,500,40,16,0.005599644035100937,0.12915166281163692,0.002733832225203514,0.11927053704857826,0.25675567612051964,0.47,0.47
100,500,40,17,0.0061218030750751495,0.5245121717453003,0.0018908418715000153,0.11423413455486298,0.6467589512467384,0.47,0.47
100,500,40,18,0.005645645782351494,0.46602269262075424,0.0019031111150979996,0.11529763415455818,0.5888690836727619,0.39,0.39
100,500,40,19,0.00681135430932045,0.14490950480103493,0.009965667501091957,0.11596536263823509,0.2776518892496824,0.33999999999999997,0.33999999999999997
100,500,40,20,0.0066324640065431595,0.3686218187212944,0.0016385596245527267,0.11670229583978653,0.4935951381921768,0.38,0.38
100,500,40,21,0.006896045058965683,0.44398400373756886,0.013875100761651993,0.11536824703216553,0.5801233965903521,0.45999999999999996,0.45999999999999996
100,500,40,22,0.006213603541254997,0.4647353086620569,0.001636980101466179,0.11514765582978725,0.5877335481345654,0.43000000000000005,0.43000000000000005
100,500,40,23,0.006050625815987587,0.45916795544326305,0.0016611330211162567,0.11335689388215542,0.5802366081625223,0.39,0.39
100,500,40,24,0.00598270446062088,0.13992379419505596,0.0022692326456308365,0.11686773598194122,0.2650434672832489,0.4,0.4
100,500,40,25,0.0060956645756959915,0.3696711603552103,0.0021133720874786377,0.11725573614239693,0.49513593316078186,0.30000000000000004,0.30000000000000004
100,500,40,26,0.008044647052884102,0.1790282502770424,0.010356215760111809,0.11425011418759823,0.31167922727763653,0.32999999999999996,0.32999999999999996
100,500,40,27,0.005604952573776245,0.23366676084697247,0.001984762027859688,0.11883111670613289,0.3600875921547413,0.38,0.38
