q,H,metric,mean,lo,hi
0.01,100,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,100,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,100,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,100,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,100,oracle,0.3868333333333334,0.37083333333333335,0.4018375
0.01,100,stage1,0.4673333333333333,0.45866666666666667,0.4751666666666667
0.01,100,stage2,0.46683333333333327,0.4580000000000001,0.4754999999999999
0.01,200,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,200,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,200,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,200,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,200,oracle,0.32866666666666666,0.3159958333333333,0.34183749999999996
0.01,200,stage1,0.4696666666666667,0.4628333333333334,0.4764999999999999
0.01,200,stage2,0.4428333333333333,0.4233333333333334,0.4606666666666666
0.01,300,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,300,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,300,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,300,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,300,oracle,0.29750000000000004,0.28666250000000004,0.3084999999999999
0.01,300,stage1,0.47533333333333333,0.4676666666666666,0.482
0.01,300,stage2,0.42116666666666674,0.3978333333333333,0.44266666666666654
0.01,400,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,400,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,400,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,400,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,400,oracle,0.26566666666666666,0.25650000000000006,0.2750000000000001
0.01,400,stage1,0.464,0.45599583333333327,0.4716666666666667
0.01,400,stage2,0.35300000000000004,0.3269958333333333,0.3801708333333333
0.01,500,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,500,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,500,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,500,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,500,oracle,0.25,0.2375,0.262
0.01,500,stage1,0.47383333333333333,0.46599999999999997,0.48116666666666663
0.01,500,stage2,0.3325000000000001,0.3004958333333333,0.3674999999999999
0.01,600,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,600,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,600,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,600,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,600,oracle,0.213,0.20433333333333337,0.22133333333333333
0.01,600,stage1,0.47233333333333327,0.4651666666666666,0.4791666666666667
0.01,600,stage2,0.2778333333333334,0.2533333333333333,0.3061666666666667
0.01,700,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,700,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,700,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,700,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,700,oracle,0.1875,0.17866666666666667,0.19566666666666663
0.01,700,stage1,0.47733333333333333,0.4701666666666667,0.48400000000000004
0.01,700,stage2,0.23983333333333334,0.21450000000000002,0.27066666666666667
0.01,800,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,800,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,800,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,800,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,800,oracle,0.165,0.15616666666666665,0.17383333333333334
0.01,800,stage1,0.47416666666666657,0.4673333333333333,0.4799999999999999
0.01,800,stage2,0.21816666666666668,0.19366666666666668,0.24866666666666665
0.01,900,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,900,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,900,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,900,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,900,oracle,0.1491666666666667,0.142,0.15649999999999997
0.01,900,stage1,0.478,0.4695,0.48533333333333323
0.01,900,stage2,0.18866666666666668,0.169,0.21499999999999997
0.01,1000,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1000,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1000,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1000,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1000,oracle,0.14066666666666666,0.13216666666666668,0.14900000000000005
0.01,1000,stage1,0.4753333333333333,0.46616666666666673,0.48349999999999993
0.01,1000,stage2,0.18683333333333338,0.15432916666666666,0.22833333333333336
0.01,1100,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1100,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1100,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1100,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1100,oracle,0.13500000000000004,0.12783333333333335,0.14233333333333334
0.01,1100,stage1,0.47133333333333327,0.46283333333333326,0.47883333333333333
0.01,1100,stage2,0.16066666666666668,0.14250000000000002,0.1885
0.01,1200,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1200,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1200,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1200,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1200,oracle,0.11233333333333334,0.10483333333333332,0.12016666666666666
0.01,1200,stage1,0.4796666666666667,0.4718333333333333,0.48616666666666664
