algorithm,error_rate,runtime_sec,K,S,H,T,requested_traj_per_user,n_traj_per_user,n_effective_transitions_per_user,repeat,run_seed
ours_stage1,0.5146666666666666,330.5788494963199,10,100,10,750,75,75,750,0,12116
ours_stage1plus2_em10,0.4986666666666667,1.0433256421238184,10,100,10,750,75,75,750,0,12116
mdpmix_original_clust_th1e-06,0.8160000000000001,13.372897375375032,10,100,10,750,75,75,750,0,12116
mdpmix_original_em_th1e-06,0.792,0.07408909685909748,10,100,10,750,75,75,750,0,12116
mdpmix_original_clust_th5e-06,0.8260000000000001,8.365071477368474,10,100,10,750,75,75,750,0,12116
mdpmix_original_em_th5e-06,0.8146666666666667,0.034058259800076485,10,100,10,750,75,75,750,0,12116
mdpmix_original_clust_th1e-05,0.8280000000000001,3.4075973089784384,10,100,10,750,75,75,750,0,12116
mdpmix_original_em_th1e-05,0.8026666666666666,0.03313020057976246,10,100,10,750,75,75,750,0,12116
ours_stage1,0.5026666666666666,321.380542434752,10,100,10,750,75,75,750,1,12117
ours_stage1plus2_em10,0.4733333333333334,0.8244718816131353,10,100,10,750,75,75,750,1,12117
mdpmix_original_clust_th1e-06,0.8140000000000001,9.767815390601754,10,100,10,750,75,75,750,1,12117
mdpmix_original_em_th1e-06,0.7906666666666666,0.08592716790735722,10,100,10,750,75,75,750,1,12117
mdpmix_original_clust_th5e-06,0.842,8.183785572648048,10,100,10,750,75,75,750,1,12117
mdpmix_original_em_th5e-06,0.8546666666666667,0.03470681793987751,10,100,10,750,75,75,750,1,12117
mdpmix_original_clust_th1e-05,0.84,7.268129209056497,10,100,10,750,75,75,750,1,12117
mdpmix_original_em_th1e-05,0.84,0.03868650831282139,10,100,10,750,75,75,750,1,12117
ours_stage1,0.5386666666666666,304.4941940009594,10,100,10,750,75,75,750,2,12118
ours_stage1plus2_em10,0.5173333333333333,1.3458276316523552,10,100,10,750,75,75,750,2,12118
mdpmix_original_clust_th1e-06,0.844,14.524555092677474,10,100,10,750,75,75,750,2,12118
mdpmix_original_em_th1e-06,0.8586666666666667,0.07017097622156143,10,100,10,750,75,75,750,2,12118
mdpmix_original_clust_th5e-06,0.806,11.954340811818838,10,100,10,750,75,75,750,2,12118
mdpmix_original_em_th5e-06,0.768,0.04182763211429119,10,100,10,750,75,75,750,2,12118
mdpmix_original_clust_th1e-05,0.8280000000000001,11.205199345946312,10,100,10,750,75,75,750,2,12118
mdpmix_original_em_th1e-05,0.8213333333333334,0.032567551359534264,10,100,10,750,75,75,750,2,12118
ours_stage1,0.5226666666666666,328.0481370277703,10,100,10,750,75,75,750,3,12119
ours_stage1plus2_em10,0.5026666666666666,5.5671207588166,10,100,10,750,75,75,750,3,12119
mdpmix_original_clust_th1e-06,0.846,12.041620831936598,10,100,10,750,75,75,750,3,12119
mdpmix_original_em_th1e-06,0.868,0.06496514566242695,10,100,10,750,75,75,750,3,12119
mdpmix_original_clust_th5e-06,0.838,9.578715721145272,10,100,10,750,75,75,750,3,12119
mdpmix_original_em_th5e-06,0.8466666666666667,0.03671287186443806,10,100,10,750,75,75,750,3,12119
mdpmix_original_clust_th1e-05,0.852,3.5989343523979187,10,100,10,750,75,75,750,3,12119
mdpmix_original_em_th1e-05,0.8733333333333333,0.03307580202817917,10,100,10,750,75,75,750,3,12119
ours_stage1,0.5226666666666666,329.53711868822575,10,100,10,750,75,75,750,4,12120
ours_stage1plus2_em10,0.5053333333333334,0.808279775083065,10,100,10,750,75,75,750,4,12120
mdpmix_original_clust_th1e-06,0.83,7.768540263175964,10,100,10,750,75,75,750,4,12120
mdpmix_original_em_th1e-06,0.8226666666666667,0.07336718402802944,10,100,10,750,75,75,750,4,12120
mdpmix_original_clust_th5e-06,0.8140000000000001,6.227090856060386,10,100,10,750,75,75,750,4,12120
mdpmix_original_em_th5e-06,0.8066666666666666,0.03585633635520935,10,100,10,750,75,75,750,4,12120
mdpmix_original_clust_th1e-05,0.8220000000000001,5.816132158041,10,100,10,750,75,75,750,4,12120
mdpmix_original_em_th1e-05,0.8306666666666667,0.03420732170343399,10,100,10,750,75,75,750,4,12120
ours_stage1,0.5146666666666666,289.19460773840547,10,100,10,750,75,75,750,5,12121
ours_stage1plus2_em10,0.5013333333333334,0.8182451967149973,10,100,10,750,75,75,750,5,12121
mdpmix_original_clust_th1e-06,0.848,19.032887717708945,10,100,10,750,75,75,750,5,12121
mdpmix_original_em_th1e-06,0.8693333333333333,0.12877320311963558,10,100,10,750,75,75,750,5,12121
mdpmix_original_clust_th5e-06,0.86,6.418654553592205,10,100,10,750,75,75,750,5,12121
mdpmix_original_em_th5e-06,0.8826666666666667,0.03920171968638897,10,100,10,750,75,75,750,5,12121
mdpmix_original_clust_th1e-05,0.87,6.546711461618543,10,100,10,750,75,75,750,5,12121
mdpmix_original_em_th1e-05,0.8866666666666667,0.03885922022163868,10,100,10,750,75,75,750,5,12121
ours_stage1,0.4853333333333333,289.12384494766593,10,100,10,750,75,75,750,6,12122
ours_stage1plus2_em10,0.4613333333333334,7.874816806986928,10,100,10,750,75,75,750,6,12122
mdpmix_original_clust_th1e-06,0.834,6.85082189925015,10,100,10,750,75,75,750,6,12122
mdpmix_original_em_th1e-06,0.8453333333333333,0.08067422732710838,10,100,10,750,75,75,750,6,12122
mdpmix_original_clust_th5e-06,0.8220000000000001,6.043521905317903,10,100,10,750,75,75,750,6,12122
mdpmix_original_em_th5e-06,0.84,0.0358031764626503,10,100,10,750,75,75,750,6,12122
mdpmix_original_clust_th1e-05,0.8220000000000001,6.897642916068435,10,100,10,750,75,75,750,6,12122
mdpmix_original_em_th1e-05,0.852,0.07305457256734371,10,100,10,750,75,75,750,6,12122
ours_stage1,0.5,294.91886371187866,10,100,10,750,75,75,750,7,12123
ours_stage1plus2_em10,0.4773333333333334,1.8489509839564562,10,100,10,750,75,75,750,7,12123
mdpmix_original_clust_th1e-06,0.8200000000000001,10.57837669737637,10,100,10,750,75,75,750,7,12123
mdpmix_original_em_th1e-06,0.8293333333333334,0.0802435353398323,10,100,10,750,75,75,750,7,12123
mdpmix_original_clust_th5e-06,0.8260000000000001,6.876046949997544,10,100,10,750,75,75,750,7,12123
mdpmix_original_em_th5e-06,0.8266666666666667,0.03770834021270275,10,100,10,750,75,75,750,7,12123
mdpmix_original_clust_th1e-05,0.8240000000000001,7.898244673386216,10,100,10,750,75,75,750,7,12123
mdpmix_original_em_th1e-05,0.8240000000000001,0.03641260601580143,10,100,10,750,75,75,750,7,12123
ours_stage1,0.4986666666666667,308.95969344489276,10,100,10,750,75,75,750,8,12124
ours_stage1plus2_em10,0.476,1.6265833228826523,10,100,10,750,75,75,750,8,12124
mdpmix_original_clust_th1e-06,0.8260000000000001,8.57013913244009,10,100,10,750,75,75,750,8,12124
mdpmix_original_em_th1e-06,0.8280000000000001,0.06855357997119427,10,100,10,750,75,75,750,8,12124
mdpmix_original_clust_th5e-06,0.84,10.8573136664927,10,100,10,750,75,75,750,8,12124
mdpmix_original_em_th5e-06,0.8453333333333333,0.174513828009367,10,100,10,750,75,75,750,8,12124
mdpmix_original_clust_th1e-05,0.84,10.960570177063346,10,100,10,750,75,75,750,8,12124
mdpmix_original_em_th1e-05,0.844,0.04315022937953472,10,100,10,750,75,75,750,8,12124
ours_stage1,0.5693333333333334,316.1148827355355,10,100,10,750,75,75,750,9,12125
ours_stage1plus2_em10,0.5533333333333333,0.8145288173109293,10,100,10,750,75,75,750,9,12125
mdpmix_original_clust_th1e-06,0.786,8.37354071624577,10,100,10,750,75,75,750,9,12125
mdpmix_original_em_th1e-06,0.74,0.07274593785405159,10,100,10,750,75,75,750,9,12125
mdpmix_original_clust_th5e-06,0.8260000000000001,6.3453166000545025,10,100,10,750,75,75,750,9,12125
mdpmix_original_em_th5e-06,0.8053333333333333,0.040234243497252464,10,100,10,750,75,75,750,9,12125
mdpmix_original_clust_th1e-05,0.8280000000000001,6.701468339189887,10,100,10,750,75,75,750,9,12125
mdpmix_original_em_th1e-05,0.844,0.03777424246072769,10,100,10,750,75,75,750,9,12125
ours_stage1,0.4893333333333333,128.10264608450234,10,100,10,750,75,75,750,10,12126
ours_stage1plus2_em10,0.45466666666666666,2.3921619933098555,10,100,10,750,75,75,750,10,12126
mdpmix_original_clust_th1e-06,0.776,7.023186231032014,10,100,10,750,75,75,750,10,12126
mdpmix_original_em_th1e-06,0.7413333333333334,0.0871791522949934,10,100,10,750,75,75,750,10,12126
mdpmix_original_clust_th5e-06,0.802,7.393591286614537,10,100,10,750,75,75,750,10,12126
mdpmix_original_em_th5e-06,0.772,0.05903979577124119,10,100,10,750,75,75,750,10,12126
mdpmix_original_clust_th1e-05,0.8200000000000001,5.821764646098018,10,100,10,750,75,75,750,10,12126
mdpmix_original_em_th1e-05,0.7893333333333333,0.04102965630590916,10,100,10,750,75,75,750,10,12126
ours_stage1,0.5013333333333334,153.5205848775804,10,100,10,750,75,75,750,11,12127
ours_stage1plus2_em10,0.4653333333333334,3.3974481765180826,10,100,10,750,75,75,750,11,12127
mdpmix_original_clust_th1e-06,0.798,11.66527221351862,10,100,10,750,75,75,750,11,12127
mdpmix_original_em_th1e-06,0.7773333333333333,0.09146005101501942,10,100,10,750,75,75,750,11,12127
mdpmix_original_clust_th5e-06,0.804,11.682314408943057,10,100,10,750,75,75,750,11,12127
mdpmix_original_em_th5e-06,0.788,0.06681261584162712,10,100,10,750,75,75,750,11,12127
mdpmix_original_clust_th1e-05,0.808,11.928146339952946,10,100,10,750,75,75,750,11,12127
mdpmix_original_em_th1e-05,0.8213333333333334,0.14697556383907795,10,100,10,750,75,75,750,11,12127
ours_stage1,0.4613333333333334,188.39454640820622,10,100,10,750,75,75,750,12,12128
ours_stage1plus2_em10,0.43866666666666665,1.3548563309013844,10,100,10,750,75,75,750,12,12128
mdpmix_original_clust_th1e-06,0.834,8.932691998779774,10,100,10,750,75,75,750,12,12128
mdpmix_original_em_th1e-06,0.8053333333333333,0.0744975246489048,10,100,10,750,75,75,750,12,12128
mdpmix_original_clust_th5e-06,0.834,7.575689064338803,10,100,10,750,75,75,750,12,12128
mdpmix_original_em_th5e-06,0.8160000000000001,0.08217436820268631,10,100,10,750,75,75,750,12,12128
mdpmix_original_clust_th1e-05,0.836,5.351259546354413,10,100,10,750,75,75,750,12,12128
mdpmix_original_em_th1e-05,0.808,0.07466303929686546,10,100,10,750,75,75,750,12,12128
ours_stage1,0.5573333333333333,324.70771713741124,10,100,10,750,75,75,750,13,12129
ours_stage1plus2_em10,0.528,14.666828501969576,10,100,10,750,75,75,750,13,12129
mdpmix_original_clust_th1e-06,0.846,9.031266966834664,10,100,10,750,75,75,750,13,12129
mdpmix_original_em_th1e-06,0.8373333333333334,0.0894420724362135,10,100,10,750,75,75,750,13,12129
mdpmix_original_clust_th5e-06,0.8240000000000001,8.934269905090332,10,100,10,750,75,75,750,13,12129
mdpmix_original_em_th5e-06,0.8106666666666666,0.03807375952601433,10,100,10,750,75,75,750,13,12129
mdpmix_original_clust_th1e-05,0.836,15.267373571172357,10,100,10,750,75,75,750,13,12129
mdpmix_original_em_th1e-05,0.812,0.14442825876176357,10,100,10,750,75,75,750,13,12129
ours_stage1,0.5026666666666666,219.47058626636863,10,100,10,750,75,75,750,14,12130
ours_stage1plus2_em10,0.4826666666666667,5.036952439695597,10,100,10,750,75,75,750,14,12130
mdpmix_original_clust_th1e-06,0.834,17.327968638390303,10,100,10,750,75,75,750,14,12130
mdpmix_original_em_th1e-06,0.8146666666666667,0.13233109191060066,10,100,10,750,75,75,750,14,12130
mdpmix_original_clust_th5e-06,0.8280000000000001,12.056944608688354,10,100,10,750,75,75,750,14,12130
mdpmix_original_em_th5e-06,0.8186666666666667,0.0800919197499752,10,100,10,750,75,75,750,14,12130
mdpmix_original_clust_th1e-05,0.84,15.142109936103225,10,100,10,750,75,75,750,14,12130
mdpmix_original_em_th1e-05,0.8200000000000001,0.09758865274488926,10,100,10,750,75,75,750,14,12130
ours_stage1,0.5813333333333333,161.33958295173943,10,100,10,750,75,75,750,15,12131
ours_stage1plus2_em10,0.5653333333333334,2.0615876968950033,10,100,10,750,75,75,750,15,12131
mdpmix_original_clust_th1e-06,0.8280000000000001,14.934549257159233,10,100,10,750,75,75,750,15,12131
mdpmix_original_em_th1e-06,0.812,0.17331366799771786,10,100,10,750,75,75,750,15,12131
mdpmix_original_clust_th5e-06,0.83,16.84298788011074,10,100,10,750,75,75,750,15,12131
