H,algorithm,mean,q025,q975
10,mdpmix_original_clust_th1e-05,0.8325333333333333,0.8277983333333333,0.8371999999999998
20,mdpmix_original_clust_th1e-05,0.8308000000000002,0.8218000000000001,0.8390016666666668
30,mdpmix_original_clust_th1e-05,0.7391333333333334,0.7265999999999999,0.7518683333333332
40,mdpmix_original_clust_th1e-05,0.7210666666666667,0.7096,0.7334666666666667
50,mdpmix_original_clust_th1e-05,0.6683333333333334,0.6498649999999999,0.6862666666666666
60,mdpmix_original_clust_th1e-05,0.6734666666666664,0.6578666666666667,0.6902683333333333
70,mdpmix_original_clust_th1e-05,0.6396666666666666,0.6191983333333331,0.661135
80,mdpmix_original_clust_th1e-05,0.6001999999999998,0.5823983333333332,0.6168666666666667
90,mdpmix_original_clust_th1e-05,0.5916666666666667,0.5683983333333334,0.6156
100,mdpmix_original_clust_th1e-05,0.6702,0.6393966666666666,0.7021999999999999
10,mdpmix_original_clust_th1e-06,0.818,0.8106666666666668,0.8251999999999999
20,mdpmix_original_clust_th1e-06,0.8161333333333334,0.8016000000000001,0.8290666666666666
30,mdpmix_original_clust_th1e-06,0.7346,0.7163966666666666,0.7520683333333332
40,mdpmix_original_clust_th1e-06,0.7433333333333333,0.7285983333333332,0.7577333333333333
50,mdpmix_original_clust_th1e-06,0.7809333333333333,0.7663316666666666,0.7956666666666669
60,mdpmix_original_clust_th1e-06,0.7969333333333333,0.7847333333333333,0.8084666666666666
70,mdpmix_original_clust_th1e-06,0.8067333333333334,0.7977333333333333,0.8162
80,mdpmix_original_clust_th1e-06,0.8052,0.7971333333333332,0.8132016666666668
90,mdpmix_original_clust_th1e-06,0.8252,0.8195333333333334,0.8308
100,mdpmix_original_clust_th1e-06,0.838,0.8338666666666668,0.8419333333333333
10,mdpmix_original_clust_th5e-06,0.8271999999999999,0.8220649999999998,0.8327333333333332
20,mdpmix_original_clust_th5e-06,0.8292000000000002,0.8201983333333333,0.837735
30,mdpmix_original_clust_th5e-06,0.7441999999999999,0.7306666666666667,0.7580666666666666
40,mdpmix_original_clust_th5e-06,0.7322666666666666,0.7131333333333334,0.7511366666666667
50,mdpmix_original_clust_th5e-06,0.6835333333333332,0.6657983333333334,0.7016683333333333
60,mdpmix_original_clust_th5e-06,0.7244,0.7042666666666667,0.7444666666666667
70,mdpmix_original_clust_th5e-06,0.7385999999999998,0.7148666666666668,0.7630683333333333
80,mdpmix_original_clust_th5e-06,0.7024666666666666,0.6821983333333332,0.7224
90,mdpmix_original_clust_th5e-06,0.7528666666666666,0.7296000000000001,0.77507
100,mdpmix_original_clust_th5e-06,0.7525333333333335,0.7375333333333335,0.7676000000000003
10,mdpmix_original_em_th1e-05,0.8351555555555557,0.8270222222222222,0.8434666666666665
20,mdpmix_original_em_th1e-05,0.6957777777777778,0.6755544444444445,0.7168011111111111
30,mdpmix_original_em_th1e-05,0.5556000000000001,0.5336888888888889,0.5807133333333333
40,mdpmix_original_em_th1e-05,0.5373333333333333,0.5089777777777779,0.5672011111111112
50,mdpmix_original_em_th1e-05,0.5054666666666666,0.48350888888888893,0.5274677777777779
60,mdpmix_original_em_th1e-05,0.5290666666666667,0.5046199999999998,0.5537344444444445
70,mdpmix_original_em_th1e-05,0.4783111111111111,0.4527977777777777,0.5034233333333333
80,mdpmix_original_em_th1e-05,0.4446222222222222,0.41782111111111114,0.4703555555555555
90,mdpmix_original_em_th1e-05,0.4418666666666667,0.4139988888888889,0.46929000000000004
100,mdpmix_original_em_th1e-05,0.5031111111111112,0.46813222222222217,0.5388455555555556
10,mdpmix_original_em_th1e-06,0.8080444444444446,0.7955544444444446,0.8200900000000001
20,mdpmix_original_em_th1e-06,0.6950666666666667,0.6686222222222222,0.7219555555555556
30,mdpmix_original_em_th1e-06,0.5714222222222223,0.542888888888889,0.599067777777778
40,mdpmix_original_em_th1e-06,0.5933333333333333,0.5607988888888888,0.6262666666666665
50,mdpmix_original_em_th1e-06,0.5927555555555556,0.5628877777777778,0.6218222222222223
60,mdpmix_original_em_th1e-06,0.5285777777777778,0.49639666666666665,0.5618222222222222
70,mdpmix_original_em_th1e-06,0.4963111111111112,0.4644000000000001,0.529378888888889
80,mdpmix_original_em_th1e-06,0.4483111111111111,0.4210666666666667,0.4771111111111111
90,mdpmix_original_em_th1e-06,0.5132444444444445,0.47302222222222223,0.5509788888888889
100,mdpmix_original_em_th1e-06,0.49342222222222226,0.45653222222222223,0.5293788888888888
10,mdpmix_original_em_th5e-06,0.8241777777777778,0.8145777777777777,0.8336455555555558
20,mdpmix_original_em_th5e-06,0.7110222222222223,0.6895099999999998,0.7323122222222224
30,mdpmix_original_em_th5e-06,0.5629777777777778,0.5386222222222223,0.5906244444444444
40,mdpmix_original_em_th5e-06,0.5856444444444444,0.5573766666666667,0.6179566666666667
50,mdpmix_original_em_th5e-06,0.5218222222222222,0.49635333333333326,0.548711111111111
60,mdpmix_original_em_th5e-06,0.5660888888888888,0.5364000000000001,0.5955111111111111
70,mdpmix_original_em_th5e-06,0.5567555555555556,0.5248433333333333,0.5896888888888888
80,mdpmix_original_em_th5e-06,0.5073777777777778,0.47933222222222216,0.5340466666666667
90,mdpmix_original_em_th5e-06,0.5149333333333332,0.4828,0.5466688888888889
100,mdpmix_original_em_th5e-06,0.4920444444444445,0.47000000000000003,0.5129811111111111
10,ours_stage1,0.5138222222222223,0.5052888888888889,0.5232
20,ours_stage1,0.34982222222222215,0.3361322222222222,0.3645355555555554
30,ours_stage1,0.3071111111111111,0.2884,0.3258233333333334
40,ours_stage1,0.23399999999999999,0.2197322222222222,0.2486222222222222
50,ours_stage1,0.24044444444444443,0.22564333333333325,0.2542222222222222
60,ours_stage1,0.20160000000000003,0.18297777777777782,0.22053333333333336
70,ours_stage1,0.15835555555555555,0.13324333333333332,0.18386888888888886
80,ours_stage1,0.13853333333333331,0.11493333333333333,0.1608011111111111
90,ours_stage1,0.1013333333333333,0.08053333333333335,0.12319999999999998
100,ours_stage1,0.11728888888888887,0.09728777777777779,0.13622444444444445
10,ours_stage1plus2_em10,0.49235555555555555,0.48275444444444443,0.5025777777777777
20,ours_stage1plus2_em10,0.33573333333333333,0.32164444444444446,0.35044444444444445
30,ours_stage1plus2_em10,0.2999555555555556,0.28008777777777777,0.31964444444444445
40,ours_stage1plus2_em10,0.2303111111111111,0.21662222222222222,0.24484444444444448
50,ours_stage1plus2_em10,0.2346666666666667,0.21964111111111118,0.24853333333333336
60,ours_stage1plus2_em10,0.19413333333333338,0.17422222222222228,0.21359999999999996
70,ours_stage1plus2_em10,0.1512888888888889,0.1265777777777778,0.1757788888888889
