T,H,repeat,oracle,stage1,ours_em1,ours_em10,mdpmix_original_clust_th1e-05,mdpmix_original_em_th1e-05,mdpmix_original_clust_th1e-04,mdpmix_original_em_th1e-04,mdpmix_original_clust_th1e-03,mdpmix_original_em_th1e-03
100,10,0,0.26,0.5800000000000001,0.5900000000000001,0.5900000000000001,0.4477611940298507,0.63,0.4477611940298507,0.63,0.4477611940298507,0.63
100,10,1,0.37,0.62,0.62,0.62,0.5074626865671642,0.64,0.5074626865671642,0.64,0.5074626865671642,0.64
100,10,2,0.35,0.5700000000000001,0.56,0.56,0.5074626865671642,0.6599999999999999,0.5074626865671642,0.6599999999999999,0.5074626865671642,0.6599999999999999
100,10,3,0.32999999999999996,0.61,0.61,0.62,0.4328358208955224,0.62,0.4328358208955224,0.62,0.417910447761194,0.61
100,10,4,0.30000000000000004,0.63,0.63,0.63,0.3880597014925373,0.56,0.3880597014925373,0.56,0.3731343283582089,0.56
100,10,5,0.24,0.61,0.62,0.62,0.4776119402985075,0.63,0.4776119402985075,0.63,0.4776119402985075,0.63
100,10,6,0.24,0.5700000000000001,0.56,0.56,0.3880597014925373,0.56,0.3731343283582089,0.53,0.3880597014925373,0.54
100,10,7,0.32999999999999996,0.62,0.62,0.62,0.4626865671641791,0.64,0.4626865671641791,0.64,0.4477611940298507,0.63
100,10,8,0.32999999999999996,0.62,0.62,0.62,0.25373134328358204,0.51,0.25373134328358204,0.51,0.25373134328358204,0.51
100,10,9,0.37,0.61,0.61,0.61,0.5074626865671642,0.62,0.5074626865671642,0.62,0.5074626865671642,0.61
100,10,10,0.4,0.5900000000000001,0.5900000000000001,0.5900000000000001,0.4477611940298507,0.63,0.4477611940298507,0.63,0.4477611940298507,0.63
100,10,11,0.26,0.5800000000000001,0.5700000000000001,0.5700000000000001,0.5522388059701493,0.5800000000000001,0.5223880597014925,0.5800000000000001,0.5223880597014925,0.5800000000000001
100,10,12,0.31999999999999995,0.5,0.5,0.5,0.5373134328358209,0.5900000000000001,0.5373134328358209,0.5900000000000001,0.5223880597014925,0.56
100,10,13,0.36,0.5900000000000001,0.5900000000000001,0.5900000000000001,0.4477611940298507,0.62,0.4477611940298507,0.62,0.4477611940298507,0.62
100,10,14,0.32999999999999996,0.55,0.55,0.55,0.4029850746268657,0.5800000000000001,0.3880597014925373,0.5700000000000001,0.3880597014925373,0.5700000000000001
