T,H,algo,mean,lo,hi
100,10,mdpmix_p10,0.5886666666666667,0.5756666666666668,0.6010000000000001
100,10,mdpmix_p30,0.5933333333333335,0.5823333333333333,0.6036666666666667
100,10,mdpmix_p50,0.5956666666666666,0.5806666666666668,0.6083416666666668
100,10,oracle,0.324,0.30499999999999994,0.34266666666666656
100,10,ours_em1,0.5786666666666667,0.5603333333333332,0.5956666666666667
100,10,ours_em10,0.5796666666666667,0.5613333333333335,0.5963333333333335
100,10,stage1,0.5790000000000001,0.5609999999999999,0.5946666666666667
100,20,mdpmix_p10,0.6066666666666668,0.5990000000000001,0.6143333333333332
100,20,mdpmix_p30,0.6033333333333334,0.5916666666666668,0.6150000000000001
100,20,mdpmix_p50,0.606,0.5963333333333334,0.6156666666666667
100,20,oracle,0.18133333333333332,0.169,0.1933333333333333
100,20,ours_em1,0.513,0.49466666666666664,0.5319999999999998
100,20,ours_em10,0.5116666666666667,0.4926666666666666,0.531
100,20,stage1,0.5186666666666667,0.5,0.5376666666666667
100,30,mdpmix_p10,0.6073333333333334,0.596,0.618
100,30,mdpmix_p30,0.6046666666666666,0.5923333333333335,0.6163333333333334
100,30,mdpmix_p50,0.6059999999999999,0.5946666666666668,0.6166666666666667
100,30,oracle,0.11666666666666667,0.10500000000000001,0.12866666666666665
100,30,ours_em1,0.43966666666666654,0.42033333333333334,0.45899999999999996
100,30,ours_em10,0.43866666666666654,0.419,0.45899999999999996
100,30,stage1,0.4436666666666666,0.42466666666666675,0.4623333333333333
100,40,mdpmix_p10,0.5813333333333334,0.5559916666666666,0.6026749999999998
100,40,mdpmix_p30,0.5776666666666668,0.555325,0.5960000000000001
100,40,mdpmix_p50,0.5836666666666667,0.5623333333333332,0.6016666666666667
100,40,oracle,0.0743333333333333,0.064,0.08466666666666665
100,40,ours_em1,0.37933333333333336,0.35832499999999995,0.4006666666666666
100,40,ours_em10,0.37766666666666654,0.35666666666666663,0.3986666666666666
100,40,stage1,0.39033333333333337,0.36833333333333323,0.4119999999999999
100,50,mdpmix_p10,0.5913333333333334,0.5760000000000001,0.6046666666666666
100,50,mdpmix_p30,0.5623333333333335,0.5283333333333334,0.5923416666666667
100,50,mdpmix_p50,0.595,0.5740000000000001,0.6116666666666666
100,50,oracle,0.051000000000000024,0.044000000000000025,0.057666666666666686
100,50,ours_em1,0.358,0.3346666666666666,0.38034166666666663
100,50,ours_em10,0.3553333333333334,0.3303333333333334,0.37900000000000006
100,50,stage1,0.36866666666666664,0.3466666666666666,0.3893333333333332
100,60,mdpmix_p10,0.5686666666666668,0.5389916666666666,0.5946666666666667
100,60,mdpmix_p30,0.526,0.4883333333333333,0.5603333333333335
100,60,mdpmix_p50,0.5353333333333334,0.4969916666666666,0.5706666666666667
100,60,oracle,0.03600000000000002,0.028666666666666688,0.04400000000000001
100,60,ours_em1,0.3086666666666667,0.2796666666666667,0.337
100,60,ours_em10,0.30066666666666675,0.2693333333333333,0.32966666666666666
100,60,stage1,0.32066666666666677,0.29366666666666674,0.3473333333333333
100,70,mdpmix_p10,0.5680000000000001,0.5373333333333333,0.5946666666666667
100,70,mdpmix_p30,0.5030000000000001,0.456,0.5486666666666667
100,70,mdpmix_p50,0.5166666666666667,0.47465833333333335,0.5563333333333333
100,70,oracle,0.02200000000000002,0.01733333333333335,0.027000000000000024
100,70,ours_em1,0.3020000000000001,0.276,0.3276666666666666
100,70,ours_em10,0.29466666666666674,0.26633333333333337,0.3223333333333334
100,70,stage1,0.316,0.29332499999999995,0.3390000000000001
100,80,mdpmix_p10,0.5356666666666666,0.4953333333333333,0.5726666666666667
100,80,mdpmix_p30,0.4789999999999999,0.43566666666666676,0.5206666666666666
100,80,mdpmix_p50,0.48833333333333334,0.4473333333333334,0.5299999999999999
100,80,oracle,0.014333333333333345,0.010333333333333342,0.018666666666666682
100,80,ours_em1,0.2533333333333333,0.21399999999999997,0.292
100,80,ours_em10,0.23500000000000001,0.19333333333333338,0.2773333333333334
100,80,stage1,0.27166666666666667,0.238,0.30566666666666664
100,90,mdpmix_p10,0.5106666666666667,0.4689916666666667,0.5496666666666666
100,90,mdpmix_p30,0.42166666666666663,0.38333333333333336,0.46233333333333326
100,90,mdpmix_p50,0.4270000000000001,0.3903333333333333,0.46633333333333327
100,90,oracle,0.009333333333333341,0.006666666666666672,0.01200000000000001
100,90,ours_em1,0.22433333333333336,0.18000000000000002,0.269
100,90,ours_em10,0.21300000000000002,0.16466666666666668,0.25900833333333323
100,90,stage1,0.249,0.20733333333333334,0.288
100,100,mdpmix_p10,0.5056666666666667,0.4570000000000001,0.5526749999999999
100,100,mdpmix_p30,0.4013333333333334,0.35500000000000004,0.44999999999999996
100,100,mdpmix_p50,0.4186666666666667,0.377,0.46366666666666667
100,100,oracle,0.009333333333333341,0.006333333333333339,0.012333333333333344
100,100,ours_em1,0.20133333333333334,0.15866666666666665,0.24399999999999994
100,100,ours_em10,0.169,0.11933333333333333,0.21933333333333332
100,100,stage1,0.2306666666666666,0.19300000000000003,0.26799999999999996
100,200,mdpmix_p10,0.26033333333333336,0.22265833333333332,0.2936666666666667
100,200,mdpmix_p30,0.29766666666666663,0.25265833333333326,0.3403333333333334
100,200,mdpmix_p50,0.2936666666666667,0.24099166666666666,0.34700000000000003
100,200,oracle,0.0,0.0,0.0
100,200,ours_em1,0.001666666666666668,0.00033333333333333365,0.0030000000000000027
100,200,ours_em10,0.001666666666666668,0.00033333333333333365,0.0030000000000000027
100,200,stage1,0.010000000000000009,0.007000000000000006,0.013000000000000012
100,300,mdpmix_p10,0.21666666666666665,0.15599166666666667,0.27999999999999997
100,300,mdpmix_p30,0.19766666666666666,0.14133333333333334,0.2553416666666666
100,300,mdpmix_p50,0.24233333333333335,0.17999166666666666,0.30066666666666664
100,300,oracle,0.0,0.0,0.0
100,300,ours_em1,0.00033333333333333365,0.0,0.0010000000000000009
100,300,ours_em10,0.00033333333333333365,0.0,0.0010000000000000009
100,300,stage1,0.00033333333333333365,0.0,0.0010000000000000009
100,400,mdpmix_p10,0.02633333333333333,0.0,0.05767499999999988
100,400,mdpmix_p30,0.010000000000000002,0.0,0.030000000000000006
100,400,mdpmix_p50,0.07366666666666667,0.03066666666666667,0.12266666666666666
100,400,oracle,0.0,0.0,0.0
100,400,ours_em1,0.0,0.0,0.0
100,400,ours_em10,0.0,0.0,0.0
100,400,stage1,0.0,0.0,0.0
100,500,mdpmix_p10,0.022333333333333334,0.0,0.057
100,500,mdpmix_p30,0.012,0.0,0.036000000000000004
100,500,mdpmix_p50,0.04733333333333333,0.010666666666666665,0.094
100,500,oracle,0.0,0.0,0.0
100,500,ours_em1,0.0,0.0,0.0
100,500,ours_em10,0.0,0.0,0.0
100,500,stage1,0.0,0.0,0.0
200,10,mdpmix_p10,0.6101666666666667,0.5995000000000001,0.6193375000000001
200,10,mdpmix_p30,0.6133333333333332,0.6056666666666665,0.6209999999999999
200,10,mdpmix_p50,0.6328333333333334,0.6265,0.6386666666666666
200,10,oracle,0.31100000000000005,0.29883333333333334,0.3241708333333333
200,10,ours_em1,0.589,0.5775,0.6003333333333333
200,10,ours_em10,0.5875,0.5758333333333333,0.5993333333333333
200,10,stage1,0.5948333333333333,0.5841666666666667,0.6055041666666668
200,20,mdpmix_p10,0.6191666666666666,0.6096666666666667,0.6276666666666667
200,20,mdpmix_p30,0.6218333333333332,0.614,0.6286666666666668
200,20,mdpmix_p50,0.6210000000000001,0.6138291666666665,0.6276708333333334
200,20,oracle,0.184,0.17650000000000005,0.191
200,20,ours_em1,0.4638333333333333,0.44849583333333326,0.47916666666666663
200,20,ours_em10,0.45416666666666666,0.43850000000000006,0.4694999999999999
200,20,stage1,0.4805,0.4655000000000001,0.49500416666666663
200,30,mdpmix_p10,0.6291666666666667,0.6206666666666667,0.6361666666666665
200,30,mdpmix_p30,0.5868333333333333,0.5583333333333333,0.6103375
200,30,mdpmix_p50,0.6273333333333333,0.6223333333333333,0.6323333333333334
200,30,oracle,0.12216666666666669,0.11433333333333333,0.13016666666666668
200,30,ours_em1,0.38733333333333325,0.37049999999999994,0.40299999999999997
200,30,ours_em10,0.37966666666666665,0.3611666666666666,0.3966666666666666
200,30,stage1,0.4033333333333334,0.3888333333333333,0.4176666666666667
200,40,mdpmix_p10,0.5813333333333334,0.5464958333333333,0.6104999999999999
200,40,mdpmix_p30,0.5683333333333334,0.5309958333333332,0.6011666666666666
200,40,mdpmix_p50,0.6106666666666666,0.5898333333333334,0.6253333333333333
200,40,oracle,0.079,0.07166666666666664,0.0863333333333333
200,40,ours_em1,0.3613333333333334,0.3383291666666667,0.3810000000000001
200,40,ours_em10,0.3493333333333333,0.32366666666666666,0.37133333333333335
200,40,stage1,0.381,0.3608291666666666,0.3978333333333333
200,50,mdpmix_p10,0.5706666666666665,0.5301666666666667,0.6063375
200,50,mdpmix_p30,0.531,0.4905,0.5698416666666666
200,50,mdpmix_p50,0.5701666666666667,0.5336625,0.6008333333333334
200,50,oracle,0.05416666666666668,0.04833333333333336,0.06050000000000001
200,50,ours_em1,0.3276666666666667,0.3055,0.3476666666666667
200,50,ours_em10,0.309,0.2826666666666667,0.33333333333333326
200,50,stage1,0.35233333333333333,0.33199999999999996,0.369
200,60,mdpmix_p10,0.5545000000000001,0.5181666666666668,0.588
200,60,mdpmix_p30,0.5048333333333334,0.45766666666666667,0.5473333333333332
200,60,mdpmix_p50,0.5508333333333334,0.5078291666666666,0.5913333333333334
200,60,oracle,0.03033333333333336,0.025662500000000022,0.0351666666666667
200,60,ours_em1,0.2821666666666667,0.2528291666666667,0.3100041666666666
200,60,ours_em10,0.22299999999999998,0.18400000000000002,0.26266666666666666
200,60,stage1,0.316,0.29182916666666664,0.3388333333333334
200,70,mdpmix_p10,0.5226666666666666,0.47549583333333334,0.5686666666666667
200,70,mdpmix_p30,0.43050000000000005,0.39016249999999997,0.4726708333333333
200,70,mdpmix_p50,0.4493333333333334,0.4033333333333334,0.4971666666666666
200,70,oracle,0.02150000000000002,0.01733333333333335,0.02566666666666669
200,70,ours_em1,0.19783333333333333,0.16383333333333333,0.23400416666666662
200,70,ours_em10,0.11816666666666666,0.0805,0.16233749999999997
200,70,stage1,0.2455,0.21699583333333333,0.27533749999999996
200,80,mdpmix_p10,0.5081666666666667,0.45383333333333337,0.5591749999999999
200,80,mdpmix_p30,0.45216666666666666,0.4098291666666667,0.4974999999999999
200,80,mdpmix_p50,0.4494999999999999,0.40650000000000003,0.49350416666666663
200,80,oracle,0.018666666666666682,0.01616666666666668,0.021166666666666684
