# T,H,StageI_mean,StageI_lower,StageI_upper,StageII_mean,StageII_lower,StageII_upper,StageII10_mean,StageII10_lower,StageII10_upper
1.000000000000000000e+02,1.000000000000000000e+01,2.796666666666667300e-01,3.533333333333335546e-02,3.599999999999992095e-02,2.656666666666666621e-01,3.566666666666665209e-02,3.633333333333327309e-02,2.610000000000000098e-01,3.533333333333324444e-02,3.566666666666667984e-02
1.000000000000000000e+02,2.000000000000000000e+01,6.966666666666669616e-02,1.066666666666667845e-02,1.133333333333330639e-02,5.366666666666668195e-02,9.333333333333332371e-03,9.666666666666684504e-03,4.900000000000001577e-02,9.333333333333325432e-03,9.666666666666670626e-03
1.000000000000000000e+02,3.000000000000000000e+01,2.366666666666667265e-02,5.666666666666667074e-03,6.000000000000005329e-03,1.433333333333333508e-02,4.666666666666667920e-03,5.000000000000002706e-03,1.300000000000000287e-02,4.333333333333336604e-03,4.666666666666671390e-03
1.000000000000000000e+02,4.000000000000000000e+01,7.333333333333333197e-03,3.000000000000000062e-03,3.333333333333334848e-03,3.333333333333333547e-03,1.666666666666666774e-03,2.000000000000000475e-03,3.333333333333333547e-03,1.666666666666666774e-03,2.000000000000000475e-03
1.000000000000000000e+02,5.000000000000000000e+01,3.000000000000000062e-03,1.666666666666666774e-03,1.666666666666666123e-03,6.666666666666666444e-04,6.666666666666666444e-04,1.000000000000000021e-03,6.666666666666666444e-04,6.666666666666666444e-04,1.000000000000000021e-03
1.000000000000000000e+02,6.000000000000000000e+01,6.666666666666666444e-04,6.666666666666666444e-04,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,7.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,8.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,3.333333333333333222e-04,3.333333333333333222e-04,6.666666666666667528e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.000000000000000000e+01,2.538333333333332997e-01,3.066666666666659213e-02,3.233333333333332504e-02,2.226666666666666516e-01,3.266666666666670493e-02,3.600000000000005973e-02,1.981666666666666576e-01,3.133750000000001812e-02,3.533333333333329995e-02
2.000000000000000000e+02,2.000000000000000000e+01,5.649999999999999467e-02,6.666666666666661023e-03,7.000000000000020095e-03,3.133333333333334497e-02,5.333333333333328818e-03,5.666666666666667074e-03,2.666666666666667532e-02,4.333333333333334869e-03,4.666666666666676594e-03
